epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,614.437,2.81837,1.50476,0.00155,0.43065,0.3647,0.35558,0.10468,2.80936,2.03705,0.0023,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967,0.02901,0.00967
52,626.084,2.91313,1.54552,0.00158,0.54785,0.42857,0.41119,0.10908,2.91727,2.04254,0.00236,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634,0.0289902,0.0096634
53,637.713,2.83752,1.54471,0.00154,0.46646,0.40179,0.34169,0.09095,2.85585,1.86599,0.00237,0.0289704,0.0096568,0.0289704,0.0096568,0.0289704,0.0096568,0.0289704,0.0096568
54,649.44,2.73476,1.57342,0.0015,0.40087,0.34948,0.28388,0.07798,2.77951,2.13614,0.00225,0.0289506,0.0096502,0.0289506,0.0096502,0.0289506,0.0096502,0.0289506,0.0096502
55,661.07,2.75243,1.6177,0.00145,0.3785,0.33929,0.28581,0.08163,2.9187,2.2766,0.0024,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436,0.0289308,0.0096436
56,672.707,2.8501,1.58084,0.0015,0.39726,0.35268,0.28965,0.07063,3.16941,2.26547,0.00263,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637,0.028911,0.009637
57,684.325,2.8302,1.50403,0.00153,0.3829,0.41071,0.27502,0.0781,3.00603,1.86021,0.0024,0.0288912,0.0096304,0.0288912,0.0096304,0.0288912,0.0096304,0.0288912,0.0096304
58,696.025,2.79422,1.51428,0.00151,0.50195,0.41964,0.37372,0.10609,2.91223,1.98386,0.00232,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238,0.0288714,0.0096238
59,707.652,2.76863,1.48398,0.00148,0.46877,0.46875,0.38889,0.11119,2.62361,1.90576,0.00209,0.0288516,0.0096172,0.0288516,0.0096172,0.0288516,0.0096172,0.0288516,0.0096172
60,719.274,2.71875,1.52957,0.00145,0.37409,0.33036,0.22979,0.05748,2.95675,2.22979,0.0025,0.0288318,0.0096106,0.0288318,0.0096106,0.0288318,0.0096106,0.0288318,0.0096106
61,730.921,2.70208,1.44132,0.00142,0.55371,0.39286,0.41932,0.12668,2.91073,1.87099,0.00232,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
62,742.666,2.77876,1.46782,0.00147,0.44802,0.36236,0.32409,0.09309,2.82711,2.24408,0.00224,0.0287922,0.0095974,0.0287922,0.0095974,0.0287922,0.0095974,0.0287922,0.0095974
63,754.306,2.69578,1.46448,0.00139,0.53613,0.42857,0.36865,0.10635,2.62469,2.08881,0.00213,0.0287724,0.0095908,0.0287724,0.0095908,0.0287724,0.0095908,0.0287724,0.0095908
64,765.902,2.76885,1.54588,0.00146,0.26347,0.19643,0.19883,0.06769,3.15368,4.82918,0.0026,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842,0.0287526,0.0095842
