epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,47484.1,2.54286,1.73365,0.72501,0.44124,0.23571,0.2075,0.05756,2.02054,1.3208,0.6223,0.0082774,0.0082774,0.0082774
89,48022.2,2.51919,1.65589,0.72967,0.3714,0.23571,0.17341,0.04698,2.04519,1.25857,0.64014,0.0082576,0.0082576,0.0082576
90,48563.1,2.57218,1.7282,0.76326,0.53179,0.20714,0.20137,0.06106,2.08945,1.376,0.66252,0.0082378,0.0082378,0.0082378
91,49102.7,2.53315,1.69377,0.75976,0.34008,0.17143,0.13993,0.04491,2.2371,1.54131,0.63245,0.008218,0.008218,0.008218
92,49643.2,2.41313,1.65305,0.74266,0.35353,0.22857,0.17494,0.04954,2.03601,1.41646,0.63986,0.0081982,0.0081982,0.0081982
93,50182.6,2.48866,1.58841,0.70366,0.44808,0.23571,0.21154,0.0464,2.26526,1.47961,0.64504,0.0081784,0.0081784,0.0081784
94,50720.8,2.50571,1.72032,0.76381,0.4481,0.2262,0.16608,0.04193,2.19611,1.62664,0.63513,0.0081586,0.0081586,0.0081586
95,51260.1,2.46379,1.6132,0.72107,0.3364,0.18571,0.13204,0.03663,2.22071,1.87814,0.63906,0.0081388,0.0081388,0.0081388
96,51798.9,2.51991,1.5959,0.74488,0.37233,0.32203,0.18071,0.04518,2.13564,1.51019,0.64974,0.008119,0.008119,0.008119
97,52336.4,2.39323,1.50815,0.7563,0.41167,0.28571,0.21518,0.05459,2.06633,1.30056,0.64527,0.0080992,0.0080992,0.0080992
98,52873.4,2.63533,1.68181,0.79714,0.38113,0.28155,0.26093,0.07642,1.99535,1.30581,0.64961,0.0080794,0.0080794,0.0080794
99,53410.4,2.47167,1.61593,0.76357,0.4167,0.26026,0.20016,0.04908,2.22137,1.31805,0.66383,0.0080596,0.0080596,0.0080596
